country,"Globalisation Index, overall"
Netherlands,90.24
Switzerland,89.70
Sweden,88.05
Austria,87.91
Belgium,87.87
Denmark,87.85
France,87.34
Germany,86.89
Finland,85.98
Norway,85.81
United Arab Emirates,84.56
Spain,84.53
Hungary,84.20
Ireland,83.53
Canada,83.45
Czech Republic,83.41
United Kingdom,82.43
Portugal,82.21
Italy,82.15
Estonia,81.97
Slovak Republic,80.74
Greece,80.31
United States,79.95
Slovenia,79.76
Bulgaria,79.52
Luxembourg,79.33
Australia,79.29
Malaysia,79.28
Croatia,79.04
Lithuania,78.78
Poland,78.72
Singapore,78.63
New Zealand,78.00
Romania,77.88
Malta,77.51
Japan,77.30
"Korea, Rep.",76.67
Israel,75.73
Cyprus,75.60
Latvia,75.42
Qatar,74.39
Jordan,74.31
Chile,74.14
Serbia,73.97
Georgia,72.50
Uruguay,70.98
Turkey,70.87
Iceland,70.62
Ukraine,70.60
"Macedonia, FYR",70.47
Mexico,70.46
Kuwait,70.21
Panama,69.89
Mauritius,69.60
Russia,69.06
South Africa,68.63
Thailand,68.15
Bahrain,68.04
Peru,67.98
Moldova,67.97
Costa Rica,67.67
Albania,67.19
Lebanon,67.17
Armenia,67.09
Morocco,67.01
Hong Kong,65.89
El Salvador,65.86
Bosnia and Herzegovina,65.79
Oman,65.40
Jamaica,65.39
Mongolia,65.12
Tunisia,64.86
Trinidad and Tobago,64.66
Paraguay,64.43
Seychelles,64.21
Philippines,64.08
Senegal,63.29
Guatemala,63.17
Argentina,63.02
Montenegro,62.22
Indonesia,62.04
Saudi Arabia,61.86
Honduras,61.71
Colombia,61.68
Vietnam,61.59
Namibia,61.55
Dominican Republic,61.52
China,61.23
Barbados,61.04
Kyrgyz Republic,60.94
Egypt,60.87
Nicaragua,60.68
Ecuador,60.67
Bolivia,59.92
Brazil,59.64
Azerbaijan,59.29
Belarus,59.15
Kazakhstan,59.10
Botswana,59.09
Brunei Darussalam,57.91
Ghana,57.60
Burkina Faso,57.18
India,56.77
Cambodia,56.67
Cuba,56.39
Kenya,56.33
Zambia,56.19
Togo,56.12
Liberia,56.05
Fiji,55.73
Sri Lanka,55.25
Nigeria,54.99
Belize,54.46
"Venezuela, RB",54.08
Cote d'Ivoire,54.02
Mauritania,53.91
Guyana,53.60
Gabon,53.19
Algeria,53.18
Rwanda,53.17
"Congo, Rep.",52.93
Timor-Leste,52.90
Yemen,52.78
Papua New Guinea,52.71
Uganda,52.66
Antigua and Barbuda,52.58
Pakistan,52.53
Bahamas,52.36
Libya,52.26
Lesotho,51.98
Cape Verde,51.35
Benin,51.26
Zimbabwe,51.10
Mali,51.07
Gambia,50.07
Grenada,49.90
Niger,49.72
Djibouti,49.24
Mozambique,48.99
Iran,48.66
Cameroon,48.60
St. Lucia,48.55
Tanzania,48.06
Maldives,47.95
Sierra Leone,47.65
Dominica,47.40
Guinea,47.10
Malawi,46.98
St. Vincent and the Grenadines,46.91
Madagascar,46.78
Samoa,46.73
Haiti,46.68
Swaziland,46.35
Nepal,46.26
Vanuatu,46.07
Suriname,45.76
"Micronesia, Fed. Sts.",45.68
Bangladesh,45.54
Syrian Arab Republic,45.51
Tajikistan,45.47
Marshall Islands,44.48
St. Kitts and Nevis,43.76
Lao PDR,43.67
Palau,43.44
Tonga,42.88
Bhutan,42.69
Angola,42.56
Ethiopia,42.51
Congo Dem. Rep.,41.94
Equatorial Guinea,41.58
Chad,41.49
Myanmar,41.31
Uzbekistan,41.23
Guinea-Bissau,40.83
Kiribati,40.63
Sao Tome and Principe,39.47
Iraq,39.06
Burundi,38.95
Sudan,38.05
Solomon Islands,37.83
Turkmenistan,37.43
Comoros,36.85
Afghanistan,35.95
Central African Republic,35.58
Eritrea,26.41
