,Unnamed: 0,country,GDPper_cap,Adult_Population,Insufficiently_active,Percent_Obese,HDI
0,0,Qatar,127700,1783051,41.6,42.3,0.856
1,1,Luxembourg,10400,394182,28.5,23.1,0.898
2,2,Singapore,87900,3856895,33.1,6.2,0.925
3,3,Kuwait,71900,2794638,56.6,39.7,0.8
4,4,Ireland,69200,3216975,35.1,25.6,0.9229999999999999
5,5,Norway,69200,3584317,25.8,23.1,0.9490000000000001
6,6,United Arab Emirates,67900,6350738,38.4,37.2,0.84
7,7,Switzerland,59600,5726389,24.5,19.4,0.9390000000000001
8,8,Saudi Arabia,55200,22253057,61.0,34.7,0.847
9,9,Netherlands,51000,11509480,15.5,19.8,0.924
10,10,Bahrain,50700,1008390,31.1,35.1,0.8240000000000001
11,11,Andorra,49900,51998,26.1,29.5,0.858
12,12,Sweden,49800,6695670,28.7,20.5,0.9129999999999999
13,13,Iceland,49200,226343,24.5,22.8,0.9209999999999999
14,14,Australia,48900,16518799,23.8,28.6,0.9390000000000001
15,15,Germany,48100,55476370,21.1,20.1,0.9259999999999999
16,16,Austria,48000,5901672,23.8,18.4,0.893
17,17,Denmark,48000,3873587,24.3,19.3,0.925
18,18,Oman,46700,3132259,31.1,30.9,0.7959999999999999
19,19,Canada,46400,24743309,23.2,28.0,0.92
20,20,Belgium,45000,7721659,33.2,20.2,0.8959999999999999
21,21,France,42300,43900183,23.8,23.9,0.897
22,22,Finland,42200,3731495,23.5,20.6,0.895
23,23,Japan,41300,86128494,33.8,3.3,0.903
24,24,Malta,39900,291072,42.9,26.6,0.856
25,25,Equatorial Guinea,38600,856451,25.2,17.5,0.5920000000000001
26,27,New Zealand,37300,3179251,39.8,29.2,0.915
27,28,Italy,36800,40103548,33.2,21.0,0.887
28,29,Spain,36400,31316979,30.5,23.7,0.884
29,30,Israel,35200,5622053,31.1,25.3,0.899
30,31,Cyprus,35000,796905,34.7,23.8,0.856
31,32,Slovenia,32100,1405232,21.3,25.1,0.89
32,33,Trinidad and Tobago,31900,924981,41.5,31.1,0.78
33,34,Slovakia,31300,3680440,17.8,25.7,0.845
34,35,Lithuania,30000,1952685,18.4,25.9,0.848
35,36,Estonia,29300,884787,11.9,22.6,0.865
36,37,Portugal,28900,6978614,34.9,20.1,0.843
37,38,Poland,27800,25788133,18.7,25.2,0.855
38,39,Seychelles,27600,64004,20.8,26.3,0.782
39,40,Hungary,27500,6567885,18.1,24.0,0.836
40,41,Malaysia,27300,21365353,52.3,13.3,0.789
41,42,Greece,26700,7539543,12.9,22.9,0.866
42,43,Saint Kitts and Nevis,26100,37391,32.4,28.3,0.765
43,44,Latvia,25700,1317197,22.0,23.7,0.83
44,45,Antigua and Barbuda,25200,68919,32.4,30.9,0.7859999999999999
45,46,Kazakhstan,25100,12298960,20.6,23.4,0.794
46,47,Turkey,24900,54551336,32.8,29.5,0.767
47,48,Bahamas,24600,267106,43.0,36.2,0.792
48,49,Chile,24100,12197773,21.3,27.8,0.847
49,50,Panama,23000,2769005,32.4,26.8,0.7879999999999999
50,51,Croatia,22800,2830327,16.2,23.3,0.8270000000000001
51,52,Romania,22300,13295339,25.3,21.7,0.802
52,53,Uruguay,21500,2335380,31.7,26.7,0.795
53,54,Mauritius,20400,854727,25.2,17.9,0.7809999999999999
54,55,Bulgaria,20300,4786336,21.0,23.2,0.794
55,56,Argentina,20000,29909515,39.2,26.3,0.8270000000000001
56,57,Gabon,19100,1368183,26.0,17.6,0.6970000000000001
57,58,Mexico,18900,87262709,26.0,28.1,0.762
58,59,Lebanon,18500,4109240,38.8,31.9,0.763
59,60,Belarus,18000,6396809,24.5,23.4,0.7959999999999999
60,61,Iraq,17900,25858332,49.3,23.8,0.649
61,62,Turkmenistan,17500,3890155,31.1,20.1,0.691
62,63,Azerbaijan,17400,6639519,24.5,22.5,0.759
63,64,Barbados,17100,193032,37.6,31.3,0.795
64,65,Botswana,17000,1548246,27.2,22.4,0.698
65,66,Thailand,16900,46641744,14.8,8.5,0.74
66,67,Montenegro,16600,424925,24.5,20.0,0.807
67,68,Costa Rica,16400,3314338,32.4,24.3,0.7759999999999999
68,69,Dominican Republic,16000,7274184,35.9,23.9,0.722
69,70,Maldives,15500,294785,30.7,7.9,0.701
70,71,Palau,15400,14680,25.2,47.6,0.7879999999999999
71,72,China,15400,952269953,24.1,6.9,0.738
72,73,Brazil,15200,141395161,27.8,20.0,0.754
73,74,Algeria,15000,27914537,34.4,24.8,0.745
74,75,Serbia,14500,5938912,38.7,19.5,0.7759999999999999
75,76,Colombia,14100,33148729,63.6,21.0,0.727
76,77,Grenada,14100,72847,30.5,26.2,0.754
77,78,Suriname,14000,380634,32.4,26.1,0.725
78,79,South Africa,13200,38318111,46.9,26.8,0.6659999999999999
79,80,Peru,12900,21731002,32.4,21.1,0.74
80,81,Egypt,12600,65906909,32.3,28.9,0.691
81,82,Mongolia,12300,2077907,21.4,16.7,0.735
82,84,Jordan,12300,6554910,15.6,30.5,0.741
83,85,Sri Lanka,12300,14104445,23.8,6.5,0.7659999999999999
84,86,Cuba,11900,7759020,32.4,25.2,0.775
85,87,Albania,11800,1979634,24.5,17.6,0.764
86,88,Saint Lucia,11800,120827,41.2,26.9,0.735
87,89,Indonesia,11700,178352576,23.7,5.7,0.6890000000000001
88,91,Tunisia,11600,7791105,23.5,27.1,0.725
89,92,Dominica,11300,49944,21.8,25.8,0.726
90,93,Saint Vincent and the Grenadines,11300,74246,32.4,24.3,0.722
91,94,Namibia,11300,1711831,31.8,18.9,0.64
92,95,Ecuador,11100,11231754,25.2,18.7,0.7390000000000001
93,96,Bosnia and Herzegovina,11000,2369341,18.1,17.9,0.75
94,97,Georgia,10000,2642988,20.6,20.8,0.769
95,98,Swaziland,9800,923717,36.8,17.7,0.541
96,99,Paraguay,9400,4601712,24.6,16.3,0.693
97,100,Fiji,9300,611757,17.0,36.4,0.736
98,101,Jamaica,9000,1952686,27.9,27.2,0.73
99,102,El Salvador,8900,4308877,32.4,21.8,0.68
100,103,Libya,8700,4306691,38.0,33.1,0.716
101,104,Armenia,8600,1979812,24.5,19.5,0.743
102,105,Ukraine,8300,29877023,12.2,20.1,0.743
103,106,Morocco,8300,24145660,31.1,22.3,0.647
104,107,Bhutan,8200,545621,8.7,6.7,0.607
105,108,Belize,8200,253134,32.4,22.5,0.706
106,109,Guyana,7900,525522,32.4,22.9,0.638
107,110,Guatemala,7900,11426763,13.3,18.6,0.64
108,111,Philippines,7700,70882662,15.8,5.1,0.682
109,112,Angola,6800,20122201,20.9,10.2,0.5329999999999999
110,115,India,6600,904750094,13.4,4.9,0.624
111,116,Nigeria,5900,128962792,22.3,11.0,0.527
112,118,Samoa,5500,132715,16.2,43.4,0.7040000000000001
113,119,Nicaragua,5500,4200598,32.4,17.1,0.645
114,120,Tonga,5400,72978,21.6,43.3,0.721
115,121,Honduras,5300,6259479,32.4,18.2,0.625
116,122,Pakistan,5100,133103979,26.0,5.4,0.55
117,123,Ghana,4400,19480000,15.6,12.2,0.579
118,124,Sudan,4400,27384318,20.9,7.5,0.49
119,125,Mauritania,4300,2986276,45.1,9.7,0.513
120,127,Zambia,3900,11548794,20.5,8.9,0.579
121,128,Bangladesh,3900,111250884,26.8,3.6,0.579
122,129,Cambodia,3700,10813230,10.3,3.2,0.563
123,130,Lesotho,3600,1508844,7.2,14.2,0.49700000000000005
124,131,Kyrgyzstan,3500,4084081,13.3,14.4,0.664
125,132,Papua New Guinea,3500,5574485,14.7,27.9,0.516
126,134,Djibouti,3400,646539,31.1,9.6,0.473
127,135,Kenya,3400,33577227,19.2,7.0,0.555
128,137,Cameroon,3200,16250698,30.7,11.4,0.518
129,139,Tajikistan,3000,6027259,24.5,13.6,0.627
130,140,Vanuatu,2600,186630,8.4,35.4,0.597
131,141,Senegal,2600,10708643,25.0,9.8,0.494
132,142,Nepal,2500,19798457,4.1,3.3,0.5579999999999999
133,143,Chad,2400,10066436,24.6,8.1,0.396
134,144,Yemen,2400,19085984,31.1,17.2,0.48200000000000004
135,145,Mali,2300,12526962,23.7,6.8,0.442
136,146,Benin,2100,7550298,6.9,9.3,0.485
137,147,Uganda,2100,28958214,20.9,4.9,0.493
138,148,Rwanda,2000,8248000,15.3,4.0,0.498
139,149,Solomon Islands,2000,413023,35.1,27.7,0.515
140,150,Zimbabwe,2000,11167603,22.4,10.5,0.516
141,151,Afghanistan,1900,24004123,31.1,2.9,0.479
142,152,Ethiopia,1900,70909245,18.9,4.0,0.44799999999999995
143,153,Haiti,1800,7418918,32.4,11.9,0.493
144,154,Burkina Faso,1700,12967049,18.4,6.3,0.402
145,155,Kiribati,1800,78638,41.1,40.6,0.588
146,156,Sierra Leone,1700,5105652,14.2,7.6,0.42
147,157,South Sudan,1700,8496152,20.9,7.5,0.418
148,159,Gambia,1700,1419144,21.5,10.9,0.452
149,160,Togo,1600,5268122,10.4,7.5,0.48700000000000004
150,161,Comoros,1500,549879,14.2,6.6,0.49700000000000005
151,162,Madagascar,1500,17275697,17.9,5.4,0.512
152,163,Eritrea,1400,3424502,10.7,4.1,0.42
153,164,Guinea,1300,8591724,9.9,6.8,0.414
154,165,Mozambique,1200,20044264,5.8,5.3,0.418
155,166,Malawi,1100,12581093,7.5,5.3,0.47600000000000003
156,167,Niger,1100,14510096,25.1,4.3,0.353
157,168,Liberia,900,3196876,27.5,6.6,0.42700000000000005
158,169,Burundi,800,7339884,20.9,2.6,0.40399999999999997
159,171,Central African Republic,700,3147674,12.0,5.1,0.35200000000000004
